397,,地理,ちり,,geography
398,,捕まえる,つかまえる,,to seize
399,,,つき,,moon
400,,付く,つく,,to be attached
401,,漬ける,つける,,"to soak,to pickle"
402,,都合,つごう,,"circumstances,convenience"
403,,伝える,つたえる,,to report
404,,続く,つづく,,to be continued
405,,続ける,つづける,,to continue
406,,包む,つつむ,,to wrap
407,,妻,つま,,(humble) wife
408,,,つもり,,intention
409,,釣る,つる,,to fish
410,,連れる,つれる,,to lead
411,,丁寧,ていねい,,polite
412,,,テキスト,,"text,text book"
413,,適当,てきとう,,suitability
414,,,できるだけ,,as much as possible
415,,手伝う,てつだう,,to assist
416,,,テニス,,tennis
417,,手袋,てぶくろ,,glove
418,,寺,てら,,temple
419,,点,てん,,"point,dot"
420,,店員,てんいん,,shop assistant
421,,天気予報,てんきよほう,,weather forecast
422,,電灯,でんとう,,electric light
423,,電報,でんぽう,,telegram
424,,展覧会,てんらんかい,,exhibition
425,,都,と,,metropolitan
426,,道具,どうぐ,,"tool,means"
427,,,とうとう,,"finally, after all"
428,,動物園,どうぶつえん,,zoo
429,,遠く,とおく,,distant
430,,通る,とおる,,to go through
431,,特に,とくに,,"particularly,especially"
432,,特別,とくべつ,,special
433,,,とこや,,barber
434,,途中,とちゅう,,on the way
435,,特急,とっきゅう,,limited express train (faster than an express train)
436,,届ける,とどける,,to reach
437,,泊まる,とまる,,to lodge at
438,,止める,とめる,,to stop something
439,,取り替える,とりかえる,,to exchange
440,,泥棒,どろぼう,,thief
441,,,どんどん,,more and more
442,,直す,なおす,,"to fix,to repair"
443,,直る,なおる,,"to be fixed,to be repaired"
444,,治る,なおる,,"to be cured,to heal"
445,,中々,なかなか,,considerably
446,,泣く,なく,,to weep
447,,無くなる,なくなる,,"to disappear,to get lost"
448,,亡くなる,なくなる,,to die
449,,投げる,なげる,,to throw or cast away
450,,,なさる,,(respectful) to do
451,,鳴る,なる,,to sound
452,,,なるべく,,as much as possible
453,,,なるほど,,now I understand
454,,慣れる,なれる,,to grow accustomed to
455,,,におい,,a smell
456,,苦い,にがい,,bitter
457,,二階建て,にかいだて,,two storied
458,,逃げる,にげる,,to escape
459,,日記,にっき,,journal
460,,入院,にゅういん・する,,to hospitalise
461,,入学,にゅうがく・する,,to enter school or university
462,,似る,にる,,to be similar
463,,人形,にんぎょう,,"doll, figure"
464,,盗む,ぬすむ,,to steal
465,,塗る,ぬる,,"to paint,to plaster"
466,,,ぬれる,,to get wet
467,,,ねだん,,price
468,,熱,ねつ,,fever
469,,,ねっしん,,enthusiasm
470,,寝坊,ねぼう,,sleeping in late
471,,眠い,ねむい,,sleepy
472,,眠る,ねむる,,to sleep
473,,残る,のこる,,to remain
474,,,のど,,throat
475,,乗り換える,のりかえる,,to change between buses or trains
476,,乗り物,のりもの,,vehicle
477,,葉,は,,leaf
478,,場合,ばあい,,situation
479,,,パート,,part time
480,,倍,ばい,,double
481,,拝見,はいけん・する,,(humble) to look at
482,,歯医者,はいしゃ,,dentist
483,,運ぶ,はこぶ,,to transport
484,,始める,はじめる,,to begin
485,,場所,ばしょ,,location
486,,,はず,,it should be so
487,,恥ずかしい,はずかしい,,embarrassed
488,,,パソコン,,personal computer
489,,発音,はつおん,,pronunciation
490,,,はっきり,,clearly
491,,花見,はなみ,,cherry-blossom viewing
492,,林,はやし,,"woods,forester"
493,,払う,はらう,,to pay
494,,番組,ばんぐみ,,television or radio program
495,,反対,はんたい,,opposition
496,,,ハンドバッグ,,handbag　
497,,日,ひ,,"day, sun"
498,,火,ひ,,fire
499,,,ピアノ,,piano
500,,冷える,ひえる,,to grow cold
501,,光,ひかり,,light
502,,光る,ひかる,,"to shine,to glitter"
503,,引き出し,ひきだし,,"drawer,drawing out"
504,,引き出す,ひきだす,,to withdraw
505,,,ひげ,,beard
506,,飛行場,ひこうじょう,,airport
507,,久しぶり,ひさしぶり,,after a long time
508,,美術館,びじゅつかん,,art gallery
509,,非常に,ひじょうに,,extremely
510,,,びっくり・する,,to be surprised
511,,引っ越す,ひっこす,,to move house
512,,必要,ひつよう,,necessary
